order1_pickup_latitude,order1_pickup_longitude,order2_pickup_latitude,order2_pickup_longitude,order3_pickup_latitude,order3_pickup_longitude,trip_start_timestamp,order1_fare,order1_tips,order2_fare,order2_tips,order3_fare,order3_tips,best
688.0,206.0,130.0,532.0,618.0,407.0,2016-02-01 08:00:00,20.7727,1.1,17.7845,0.5455,16.1591,1.1,order1
18.0,610.0,681.0,196.0,218.0,437.0,2016-02-01 08:00:00,15.75,0.1818,18.2727,1.1,10.6818,0.6545,order2
158.0,270.0,700.0,659.0,158.0,270.0,2016-02-01 08:00:00,10.5364,1.0909,8.4091,0.3636,10.1364,0.6364,order1
395.0,408.0,744.0,605.0,210.0,470.0,2016-02-01 08:00:00,10.5,0.6364,7.3864,0.7273,11.6591,0.0909,order3
642.0,32.0,18.0,610.0,686.0,500.0,2016-02-01 08:00:00,16.5,0.4682,13.0118,0.2909,10.6818,0.1818,order1
18.0,610.0,744.0,605.0,599.0,346.0,2016-02-01 08:00:00,13.7391,0.1818,10.6364,0.8182,15.9545,0.8136,order3
411.0,545.0,225.0,6.0,686.0,500.0,2016-02-01 08:00:00,10.5,0.4545,24.0,2.5173,11.5455,0.2727,order2
395.0,408.0,728.0,277.0,684.0,503.0,2016-02-01 08:00:00,13.1136,0.1818,16.4091,0.1818,7.8409,0.3636,order2
744.0,605.0,474.0,204.0,779.0,81.0,2016-02-01 08:00:00,8.2273,0.7273,18.7273,0.9182,17.2045,1.1,order2
18.0,610.0,688.0,206.0,395.0,408.0,2016-02-01 08:00:00,13.8636,0.7273,18.9318,1.1,13.7164,0.0,order2
399.0,780.0,170.0,351.0,395.0,408.0,2016-02-01 08:00:00,14.7727,0.9818,7.7727,0.7273,13.7955,0.4545,order1
744.0,605.0,419.0,615.0,395.0,408.0,2016-02-01 08:00:00,7.9318,0.1818,17.4264,1.7273,11.2955,0.3636,order2
395.0,408.0,660.0,120.0,173.0,203.0,2016-02-01 08:00:00,10.6709,0.3818,19.0227,0.4682,19.2955,2.1991,order3
18.0,610.0,37.0,370.0,18.0,610.0,2016-02-01 08:00:00,14.6591,0.3636,14.8864,0.5,14.1936,0.5455,order2
158.0,270.0,395.0,408.0,599.0,346.0,2016-02-01 08:00:00,10.2727,1.1818,17.08,0.5455,17.4545,0.9182,order3
199.0,510.0,556.0,288.0,395.0,408.0,2016-02-01 08:00:00,15.2845,0.5455,13.6818,0.1818,17.2045,0.2727,order3
411.0,545.0,575.0,547.0,688.0,206.0,2016-02-01 08:00:00,17.4664,0.3636,8.6136,0.3636,17.0227,0.4682,order1
556.0,288.0,779.0,81.0,744.0,605.0,2016-02-01 08:00:00,18.4773,0.8136,19.3864,0.2864,11.0,0.4545,order2
767.0,733.0,225.0,6.0,411.0,545.0,2016-02-01 08:00:00,7.5909,0.5455,22.0227,2.1491,14.1591,0.2727,order2
419.0,615.0,411.0,545.0,744.0,605.0,2016-02-01 08:00:00,13.6136,0.9591,13.9664,0.3636,10.3182,0.7273,order1
697.0,693.0,695.0,366.0,161.0,649.0,2016-02-01 08:00:00,10.6818,0.5455,18.9091,0.8136,12.6255,0.3818,order2
575.0,547.0,433.0,757.0,385.0,478.0,2016-02-01 08:00:00,10.2273,1.0,41.9091,6.78,18.9891,0.2727,order2
294.0,113.0,18.0,610.0,744.0,605.0,2016-02-01 08:00:00,19.0909,1.3227,11.3409,0.6545,10.75,0.6364,order1
411.0,545.0,385.0,478.0,199.0,510.0,2016-02-01 08:00:00,11.3864,0.8364,16.8073,0.2727,14.6364,0.5455,order2
385.0,478.0,744.0,605.0,225.0,6.0,2016-02-01 08:00:00,18.9318,0.3636,7.8636,0.4545,22.0227,1.9627,order3
181.0,726.0,411.0,545.0,225.0,6.0,2016-02-01 08:00:00,13.8636,0.4727,11.1136,0.6364,18.6136,1.5318,order3
660.0,120.0,660.0,120.0,109.0,708.0,2016-02-01 08:00:00,16.7045,0.4682,17.4318,1.1,16.2727,0.2909,order2
744.0,605.0,18.0,610.0,411.0,545.0,2016-02-01 08:00:00,10.9318,0.4545,15.3636,0.3818,13.7727,0.4545,order2
744.0,605.0,395.0,408.0,167.0,754.0,2016-02-01 08:00:00,11.0227,0.4545,13.6255,0.2909,12.4318,0.3636,order2
697.0,693.0,294.0,113.0,688.0,206.0,2016-02-01 08:00:00,7.8636,0.7273,22.7727,2.2673,13.7045,0.8136,order2
767.0,733.0,526.0,511.0,754.0,410.0,2016-02-01 08:00:00,10.4091,0.5455,7.6591,0.3636,14.6618,1.4773,order3
744.0,605.0,433.0,757.0,207.0,239.0,2016-02-01 08:00:00,7.8182,0.4545,39.0455,5.8455,18.2955,1.8945,order2
695.0,366.0,411.0,545.0,686.0,500.0,2016-02-01 08:00:00,16.7045,1.1,13.8073,0.5455,7.4545,0.9091,order1
470.0,676.0,411.0,545.0,744.0,605.0,2016-02-01 08:00:00,41.5227,5.5773,12.5345,0.4545,8.3864,0.4545,order1
199.0,510.0,419.0,615.0,199.0,510.0,2016-02-01 08:00:00,10.6591,0.2909,16.5809,0.8636,10.6818,0.6545,order2
599.0,346.0,18.0,610.0,744.0,605.0,2016-02-01 08:00:00,15.7045,0.2864,18.9773,0.0,7.4091,0.9091,order2
470.0,676.0,411.0,545.0,695.0,366.0,2016-02-01 08:00:00,39.8636,6.5309,16.3755,0.0909,17.2727,0.8136,order1
686.0,500.0,18.0,610.0,158.0,270.0,2016-02-01 08:00:00,7.9773,0.7273,10.3864,0.6364,6.8727,0.5455,order2
599.0,346.0,64.0,231.0,744.0,605.0,2016-02-01 08:00:00,19.3182,1.1,7.65,0.5455,10.9091,0.4545,order1
700.0,659.0,411.0,545.0,130.0,532.0,2016-02-01 08:00:00,8.0682,0.6364,10.5,0.5455,13.75,0.2909,order3
173.0,203.0,660.0,120.0,433.0,757.0,2016-02-01 08:00:00,18.6136,2.3491,14.7727,0.1818,43.7455,6.3082,order3
